Link,Visualizacoes,Like,Deslikes,Like Comentarios,Qtd Caracteres,Codigo,Opiniao,Emoji ,Densidade semantica,Dificuldade,Densidade semantica 2,Dificuldade 2,Tristeza,Alegria,Medo,Aversao,Raiva,Pontuacao,Resultado
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,1,145,0,1,0,1,2,2,2,0.525,0.0,0.0,0.0,0.7875,-0.7875,-1
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,1,9,0,1,0,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,1,9,0,1,0,1,2,2,2,0.0,0.625,0.0,0.0,0.0,0.625,1
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,2,54,0,1,0,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,1,143,0,1,0,1,2,2,2,0.0,0.9166666666666666,0.0,0.0,0.0,0.9166666666666666,1
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,1,24,0,1,0,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,1,8,0,1,0,1,2,2,2,0.0,0.525,0.0,0.0,0.0,0.525,1
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,2,293,0,1,0,1,2,2,2,0.145,0.5208333333333334,0.0,0.0,0.145,0.4,1
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,2,48,0,1,0,1,2,2,2,0.5,0.25,0.0,0.0,0.0,-0.08333333333333333,0
https://www.youtube.com/watch?v=iFYWrDMfVNo,37.636,1.700,27,4,14,0,1,0,1,2,2,2,0.0,0.5,0.0,0.0,0.0,0.5,1
https://www.youtube.com/watch?v=YUeiAhpPMjQ,810,76,2,0,77,0,1,0,5,4,5,4,0.0,0.525,0.0,0.0,0.0,0.525,1
https://www.youtube.com/watch?v=YUeiAhpPMjQ,810,76,2,0,58,0,1,0,5,4,5,4,0.0,0.2625,0.0,0.0,0.0,0.2625,1
https://www.youtube.com/watch?v=YUeiAhpPMjQ,810,76,2,0,39,0,1,0,5,4,5,4,0.0,0.9875,0.0,0.0,0.0,0.9875,1
https://www.youtube.com/watch?v=YUeiAhpPMjQ,810,76,2,0,51,0,1,0,5,4,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0
