Visualizacoes;Like;Deslikes;Like Comentarios;Qtd Caracteres;Codigo;Opiniao;Emoji ;Densidade semantica;Dificuldade;Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado
37.656;1700;27;2;54;;1;;1;2;;;;;;;
37.656;1700;27;2;54;;1;;2;2;;;;;;;
37.656;1700;27;1;143;;1;;1;2;;0.9166666666666666;;;;0.9166666666666666;1
37.656;1700;27;1;143;;1;;2;2;;0.9166666666666666;;;;0.9166666666666666;1
37.656;1700;27;1;24;;1;;1;2;;;;;;;
37.656;1700;27;1;24;;1;;2;2;;;;;;;
37.656;1700;27;1;8;;1;;1;2;;0.525;;;;0.525;1
37.656;1700;27;1;8;;1;;2;2;;0.525;;;;0.525;1
37.656;1700;27;2;293;;1;;1;2;0.145;0.5208333333333334;;;0.145;0.4;1
37.656;1700;27;2;293;;1;;2;2;0.145;0.5208333333333334;;;0.145;0.4;1
37.656;1700;27;2;48;;1;;1;2;0.5;0.25;;;;-0.08333333333333333;
37.656;1700;27;2;48;;1;;2;2;0.5;0.25;;;;-0.08333333333333333;
37.656;1700;27;4;14;;1;;1;2;;0.5;;;;0.5;1
37.656;1700;27;4;14;;1;;2;2;;0.5;;;;0.5;1
820;76;2;;77;;1;;5;4;;0.525;;;;0.525;1
820;76;2;;77;;1;;5;4;;0.525;;;;0.525;1
820;76;2;;58;;1;;5;4;;0.2625;;;;0.2625;1
820;76;2;;58;;1;;5;4;;0.2625;;;;0.2625;1
820;76;2;;39;;1;;5;4;;0.9875;;;;0.9875;1
820;76;2;;39;;1;;5;4;;0.9875;;;;0.9875;1
820;76;2;;51;;1;;5;4;;;;;;;
820;76;2;;51;;1;;5;4;;;;;;;
820;76;2;;18;;1;;5;4;;0.5;;;;0.5;1
820;76;2;;18;;1;;5;4;;0.5;;;;0.5;1
4.402;433;2;6;261;;1;1;3;1;0.205;0.35;;;;0.29;
4.402;433;2;6;261;;1;1;3;2;0.205;0.35;;;;0.29;
4.402;433;2;1;133;1;;;3;1;;0.9734375;;;;0.9734375;1
4.402;433;2;1;133;1;;;3;2;;0.9734375;;;;0.9734375;1
4.402;433;2;1;53;;1;;3;1;;0.6770833333333334;;;;0.6770833333333334;1
4.402;433;2;1;53;;1;;3;2;;0.6770833333333334;;;;0.6770833333333334;1
4.402;433;2;1;105;;1;;3;1;;0.80625;;;;0.80625;1
4.402;433;2;1;105;;1;;3;2;;0.80625;;;;0.80625;1
4.402;433;2;;9;;1;;3;1;;1.0;;;;1.0;1
4.402;433;2;;9;;1;;3;2;;1.0;;;;1.0;1
4.402;433;2;;146;;1;;3;1;;1.0;;;;1.0;1
4.402;433;2;;146;;1;;3;2;;1.0;;;;1.0;1
4.402;433;2;1;75;;1;;3;1;;;;;;;
4.402;433;2;1;75;;1;;3;2;;;;;;;
4.402;433;2;;;;1;1;3;1;;;;;;;
4.402;433;2;;;;1;1;3;2;;;;;;;
4.402;433;2;;11;;1;;3;1;;;;;;;
4.402;433;2;;11;;1;;3;2;;;;;;;
4.402;433;2;;26;1;;;3;1;;0.75;;;;0.75;1
4.402;433;2;;26;1;;;3;2;;0.75;;;;0.75;1
4.402;433;2;;29;;1;;3;1;;;;;;;
4.402;433;2;;29;;1;;3;2;;;;;;;
44.693;2100;8;38;77;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;38;77;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;18;71;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;18;71;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;;84;;1;;3;2;;0.525;;;;0.525;1
44.693;2100;8;;84;;1;;3;3;;0.525;;;;0.525;1
44.693;2100;8;;91;;1;;3;2;0.19333333333333333;0.5916666666666667;;0.58;0.7733333333333333;0.41;
44.693;2100;8;;91;;1;;3;3;0.19333333333333333;0.5916666666666667;;0.58;0.7733333333333333;0.41;
44.693;2100;8;;92;;1;;3;2;;0.34375;;;;0.34375;1
44.693;2100;8;;92;;1;;3;3;;0.34375;;;;0.34375;1
44.693;2100;8;;72;;1;;3;2;;0.7875;;;;0.7875;1
44.693;2100;8;;72;;1;;3;3;;0.7875;;;;0.7875;1
44.693;2100;8;;121;;1;;3;2;;0.7875;;;;0.7875;1
44.693;2100;8;;121;;1;;3;3;;0.7875;;;;0.7875;1
44.693;2100;8;;36;;1;;3;2;;0.91875;;;;0.91875;1
44.693;2100;8;;36;;1;;3;3;;0.91875;;;;0.91875;1
44.693;2100;8;1;104;;1;1;3;2;;0.8569444444444444;;;;0.8569444444444444;1
44.693;2100;8;1;104;;1;1;3;3;;0.8569444444444444;;;;0.8569444444444444;1
