24/03/2022,11:00,Paradou U21, MC Alger U21, 1, 0, 1.82,3.37,3.96,
24/03/2022,07:00,Hussein Dey U21, CR Belouizdad U21, 3, 1, 7.03,4.14,1.40,
19/03/2022,07:00,MC Alger U21, Constantine U21, 2, 2, 3.20,3.00,2.10,
18/03/2022,11:00,ASO Chlef U21, Arba U21, 0, 0, 1.69,3.63,4.36,
18/03/2022,11:00,Magra U21, Medea U21, 1, 3, 1.55,3.96,5.07,
18/03/2022,11:00,Tlemcen U21, Paradou U21, 2, 2, 3.16,3.18,2.07,
18/03/2022,06:00,Kabylie U21, Saoura U21, 2, 0, 2.17,3.27,3.05,
17/03/2022,11:00,Oran U21, Hussein Dey U21, 2, 1, 2.12,3.09,3.18,
17/03/2022,11:00,RC Relizane U21, USM Alger U21, 0, 4, 7.20,4.40,1.36,
17/03/2022,10:00,Chelghoum U21, Biskra U21, 2, 0, 1.39,4.24,7.13,
17/03/2022,07:00,CR Belouizdad U21, ES Setif U21, 5, 1, 1.38,4.19,7.75,
13/03/2022,06:00,MC Alger U21, RC Relizane U21, 3, 0, 1.16,6.30,18.19,
12/03/2022,11:00,Constantine U21, Tlemcen U21, 3, 0, 1.28,5.01,9.41,
12/03/2022,11:00,ES Setif U21, Oran U21, 6, 0, 1.44,3.95,6.74,
12/03/2022,11:00,Medea U21, CR Belouizdad U21, 0, 6, 8.34,4.71,1.31,
12/03/2022,11:00,Paradou U21, Magra U21, 1, 0, 1.19,6.05,11.38,
12/03/2022,06:00,Saoura U21, Chelghoum U21, 1, 0, 1.36,4.55,6.45,
11/03/2022,11:00,Arba U21, Kabylie U21, 1, 2, 4.05,3.46,1.78,
08/02/2022,10:30,CR Belouizdad U21, Oran U21, 1, 0, 1.36,4.52,7.29,
08/02/2022,07:00,Tlemcen U21, Kabylie U21, 1, 2, 2.28,3.15,2.92,
08/02/2022,06:00,Hussein Dey U21, MC Alger U21, 0, 0, 2.88,3.29,2.23,
05/02/2022,06:00,Saoura U21, Arba U21, 2, 1, 1.41,4.16,6.69,
04/02/2022,11:00,ASO Chlef U21, Constantine U21, 1, 4, 4.46,3.40,1.71,
04/02/2022,11:00,Chelghoum U21, Medea U21, 3, 1, 1.90,3.16,3.80,
04/02/2022,11:00,CR Belouizdad U21, Tlemcen U21, 1, 0, 1.74,3.77,3.78,
04/02/2022,11:00,Kabylie U21, Paradou U21, 0, 3, 2.47,3.39,2.41,
04/02/2022,11:00,Oran U21, MC Alger U21, 0, 2, 2.56,3.17,2.50,
04/02/2022,11:00,USM Alger U21, ES Setif U21, 1, 0, 2.48,3.37,2.45,
04/02/2022,06:00,Biskra U21, Hussein Dey U21, 2, 2, 2.18,3.30,2.95,
04/02/2022,06:00,RC Relizane U21, Magra U21, 1, 1, 3.07,3.25,2.14,
29/01/2022,11:00,Constantine U21, Kabylie U21, 0, 1, 1.59,3.55,5.35,
29/01/2022,06:00,Hussein Dey U21, Saoura U21, 1, 1, 4.24,3.35,1.75,
28/01/2022,11:00,ES Setif U21, Biskra U21, 4, 1, 1.26,5.37,8.78,
28/01/2022,11:00,Magra U21, CR Belouizdad U21, 0, 0, 6.92,4.09,1.41,
28/01/2022,11:00,Medea U21, USM Alger U21, 0, 0, 4.45,3.13,1.80,
28/01/2022,11:00,Tlemcen U21, Oran U21, 3, 1, 1.67,3.41,4.79,
28/01/2022,06:00,Arba U21, RC Relizane U21, 1, 1, 1.39,4.53,6.50,
28/01/2022,06:00,MC Alger U21, ASO Chlef U21, 3, 2, 1.49,3.86,5.82,
06/01/2022,11:00,CR Belouizdad U21, Kabylie U21, 2, 2, 1.76,3.59,3.98,
06/01/2022,11:00,Oran U21, ASO Chlef U21, 1, 3, 1.54,3.91,5.00,
06/01/2022,11:00,Paradou U21, Arba U21, 1, 1, 1.33,4.71,7.85,
03/01/2022,06:00,Biskra U21, Tlemcen U21, 0, 3, 3.42,3.11,2.05,
02/01/2022,10:00,USM Alger U21, Magra U21, 4, 1, 1.29,4.96,8.36,
02/01/2022,06:00,Saoura U21, MC Alger U21, 1, 0, 1.38,4.14,6.95,
01/01/2022,10:00,Arba U21, Constantine U21, 2, 2, 4.80,3.65,1.57,
01/01/2022,10:00,ASO Chlef U21, RC Relizane U21, 1, 0, 1.57,3.59,5.24,
01/01/2022,10:00,Chelghoum U21, CR Belouizdad U21, 0, 0, 5.05,3.21,1.68,
01/01/2022,10:00,ES Setif U21, Medea U21, 2, 1, 1.65,3.52,4.70,
01/01/2022,10:00,Hussein Dey U21, Paradou U21, 0, 3, 4.31,3.48,1.72,
01/01/2022,10:00,Kabylie U21, Oran U21, 2, 0, 1.69,3.52,4.12,
28/12/2021,10:00,Magra U21, Biskra U21, 1, 1, 2.34,3.13,2.79,
27/12/2021,10:00,ASO Chlef U21, Kabylie U21, 1, 3, 3.72,3.35,1.90,
27/12/2021,10:00,Constantine U21, Hussein Dey U21, 3, 1, 1.21,5.56,11.10,
27/12/2021,10:00,CR Belouizdad U21, USM Alger U21, 4, 1, 1.70,3.52,4.37,
27/12/2021,10:00,MC Alger U21, Arba U21, 0, 0, 1.68,3.72,4.23,
27/12/2021,10:00,Oran U21, Chelghoum U21, 1, 0, 1.92,3.36,3.52,
27/12/2021,10:00,Paradou U21, ES Setif U21, 0, 0, 1.79,3.50,3.85,
27/12/2021,10:00,RC Relizane U21, Medea U21, 1, 1, 3.76,3.30,1.88,
