Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resumo;Densidade semântica 1: ;Dificuldade 1:;Densidade semântica 2:;Dificuldade 2:
;0.525;;;;0.525;1;1;2;2;2
;0.5208333333333334;;;;0.5208333333333334;1;1;2;2;2
;0.6125;;;;0.6125;1;1;2;2;2
;1.0;;;;1.0;1;1;2;2;2
;1.0;;;;1.0;1;1;2;2;2
;1.0;;;;1.0;1;1;2;2;2
;0.65625;;;;0.65625;1;1;2;2;2
;0.625;;;;0.625;1;1;2;2;2
;0.9375;;;;0.9375;1;1;2;2;2
1.0;;0.525;0.525;0.525;-1.0;-1;1;2;2;2
;0.4375;;;;0.4375;1;1;2;2;2
;0.9166666666666666;;;;0.9166666666666666;1;1;2;2;2
;0.7416666666666667;;;;0.7416666666666667;1;1;2;2;2
;0.7875;;;;0.7875;1;1;2;2;2
;;;;;;;1;2;2;2
;;;;;;;1;2;2;2
0.1455;0.515;0.1455;;0.1455;0.2725;;1;2;2;2
;0.625;;;;0.625;1;1;2;2;2
;0.65625;;;;0.65625;1;1;2;2;2
0.525;;;;0.7875;-0.7875;-1;1;2;2;2
;0.9875;;;;0.9875;1;5;4;5;4
;;;;;;;5;4;5;4
;0.525;;;;0.525;1;5;4;5;4
;0.5;;;;0.5;1;5;4;5;4
;0.2625;;;;0.2625;1;5;4;5;4
0.17083333333333334;0.43555555555555553;;;;0.3616666666666667;;3;1;3;2
;1.0;;;;1.0;1;3;1;3;2
;0.6770833333333334;;;;0.6770833333333334;1;3;1;3;2
;0.9734375;;;;0.9734375;1;3;1;3;2
;;;;;;;3;1;3;2
;;;;;;;3;1;3;2
;0.80625;;;;0.80625;1;3;1;3;2
;0.8979166666666667;;;;0.8979166666666667;1;3;1;3;2
;;;;;;;3;1;3;2
;0.525;;;;0.525;1;3;1;3;2
;;;;;;;3;1;3;2
;1.0;;;;1.0;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.65625;;;;0.65625;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.39375;;;;0.39375;1;3;2;3;3
0.175;0.3675;;0.35;;0.0175;;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.91875;;;;0.91875;1;3;2;3;3
0.25;0.15;;;0.5;-0.25;;3;2;3;3
;0.25;;;;0.25;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
0.21;0.6;0.21;;0.21;0.39;;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;;;;;;;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.34375;;;;0.34375;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
0.145;0.45208333333333334;;;0.145;0.21041666666666667;;3;2;3;3
;0.7875;;;;0.7875;1;3;2;3;3
;;;;;;;4;3;3;3
0.15;0.7166666666666667;;0.15;0.15;0.6333333333333333;1;4;3;3;3
;0.2625;;;;0.2625;1;4;3;3;3
;0.8575;;;;0.8575;1;4;3;3;3
;0.2625;;;;0.2625;1;4;3;3;3
;0.7875;;;;0.7875;1;4;3;3;3
;0.525;;;;0.525;1;4;3;3;3
0.2175;0.5222222222222223;;0.2175;0.2175;0.4013888888888889;1;4;3;3;3
;;;;;;;4;3;3;3
;0.525;;;;0.525;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.75;;;;0.75;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.9625;;;;0.9625;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.7875;;;;0.7875;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.9375;;;;0.9375;1;4;3;3;3
;0.7875;;;;0.7875;1;2;3;3;2
;1.0;;;;1.0;1;2;3;3;2
;;;;;;;2;3;3;2
;;;;;;;2;3;3;2
0.525;;;;;-0.525;-1;2;3;3;2
;;;;;;;2;3;3;2
;0.46875;;;;0.46875;1;2;3;3;2
