visualizacoes;like;deslikes;like comentarios;qtd caracteres;codigo;opiniao;emoji ;densidade semantica;dificuldade;tristeza;alegria;medo;aversao;raiva;pontuacao;resultado
197.835;6200;36;0.25;95.65;0.0;1.0;0.0;1;1;0.367;0.701;0.21;0.21;0.21;0.68;1.0
197.835;6200;36;0.25;107.0;0.1;0.9;0.0;1;1;0.408;0.647;0.244;0.263;0.263;0.474;0.733
197.835;6200;36;0.25;107.0;0.1;0.9;0.0;1;1;0.408;0.647;0.244;0.263;0.263;0.474;0.733
197.835;6200;36;0.474;126.368;0.211;0.789;0.0;1;1;0.417;0.54;0.367;0.525;0.298;0.367;0.667
197.835;6200;36;0.474;126.368;0.211;0.789;0.0;1;1;0.417;0.54;0.367;0.525;0.298;0.367;0.667
21.960;440;8;0.45;92.2;0.05;0.95;0.0;1;1;0.399;0.745;0.16;0.15;0.0;0.677;1.0
21.960;440;8;0.45;92.2;0.05;0.95;0.0;1;1;0.399;0.745;0.16;0.15;0.0;0.677;1.0
21.960;440;8;0.4;38.25;0.05;0.95;0.0;1;1;0.375;0.809;0.0;0.0;0.375;0.786;0.889
21.960;440;8;0.4;38.25;0.05;0.95;0.0;1;1;0.375;0.809;0.0;0.0;0.375;0.786;0.889
21.960;440;8;1.3;46.7;0.1;0.9;0.0;1;1;0.71;0.677;0.787;0.525;0.263;0.179;0.333
21.960;440;8;1.3;46.7;0.1;0.9;0.0;1;1;0.71;0.677;0.787;0.525;0.263;0.179;0.333
25.621;1000;15;2.55;62.55;0.0;1.0;0.0;2;1;0.421;0.727;0.466;0.335;0.204;0.523;0.733
25.621;1000;15;2.55;62.55;0.0;1.0;0.0;2;1;0.421;0.727;0.466;0.335;0.204;0.523;0.733
25.621;1000;15;1.0;45.6;0.0;1.0;0.0;2;1;0.42;0.413;0.0;0.0;0.0;0.273;1.0
25.621;1000;15;1.0;45.6;0.0;1.0;0.0;2;1;0.42;0.413;0.0;0.0;0.0;0.273;1.0
16.458;522;7;17.0;36.0;0.0;1.0;0.0;1;1;0.0;1.0;0.0;0.0;0.0;1.0;1.0
16.458;522;7;17.0;36.0;0.0;1.0;0.0;2;2;0.0;1.0;0.0;0.0;0.0;1.0;1.0
247.239;8400;63;17.05;102.75;0.0;1.0;0.0;1;1;0.425;0.697;0.255;0.3;0.575;0.579;0.889
247.239;8400;63;17.05;102.75;0.0;1.0;0.0;1;1;0.425;0.697;0.255;0.3;0.575;0.579;0.889
247.239;8400;63;0.55;75.65;0.0;1.0;0.0;1;1;0.203;0.819;0.15;0.0;0.15;0.823;1.0
247.239;8400;63;0.55;75.65;0.0;1.0;0.0;1;1;0.203;0.819;0.15;0.0;0.15;0.823;1.0
247.239;8400;63;0.2;76.5;0.0;1.0;0.0;1;1;0.223;0.695;0.142;0.0;0.15;0.66;1.0
247.239;8400;63;0.2;76.5;0.0;1.0;0.0;1;1;0.223;0.695;0.142;0.0;0.15;0.66;1.0
247.239;8400;63;0.6;87.55;0.0;1.0;0.0;1;1;0.334;0.639;0.263;0.341;0.0;0.409;0.6
247.239;8400;63;0.6;87.55;0.0;1.0;0.0;1;1;0.334;0.639;0.263;0.341;0.0;0.409;0.6
247.239;8400;63;0.294;86.588;0.0;1.0;0.0;1;1;0.398;0.52;0.312;0.0;0.327;0.404;0.75
247.239;8400;63;0.294;86.588;0.0;1.0;0.0;1;1;0.398;0.52;0.312;0.0;0.327;0.404;0.75
60.314;1600;5;5.45;135.35;0.05;0.95;0.0;1;1;0.568;0.811;0.232;0.232;0.232;0.713;0.895
60.314;1600;5;5.45;135.35;0.05;0.95;0.0;1;1;0.568;0.811;0.232;0.232;0.232;0.713;0.895
60.314;1600;5;0.933;101.933;0.133;0.867;0.0;1;1;0.433;0.732;0.263;0.394;0.0;0.444;0.5
