Video;Densidade semântica: ;Dificuldade:;Densidade semântica:;Dificuldade;Sadness;Joy;Fear;Disgust;Anger;Score;Label;
https://www.youtube.com/watch?v=iFYWrDMfVNo;1;2;2;2;0.083525;0.577833;0.033525;0.02625;0.0729;0.476333;0.65;
https://www.youtube.com/watch?v=YUeiAhpPMjQ;5;4;5;4;0;0.455;0;0;0;0.455;0.8;
https://www.youtube.com/watch?v=XinLASYOJE4;3;1;3;2;0.01553;0.483204;0;0;0;0.476487;0.545455;
https://www.youtube.com/watch?v=MOXLCjL4Ik4;3;2;3;3;0.039;0.695979;0.0105;0.0105;0.04275;0.635896;0.75;
https://www.youtube.com/watch?v=pMPlngyWHLM;4;3;3;3;0.018375;0.694819444444444;0;0.018375;0.018375;0.684611111111111;0.9;
https://www.youtube.com/watch?v=PQzUj5Hd0jk;2;3;3;2;0.0525;0.3821875;0;0;0;0.3296875;0.45;
https://www.youtube.com/watch?v=shBkovJfWpk;4;3;2;2;0.048125;0.638166666666667;0;0.0175;0.00875;0.581291666666667;0.75;
https://www.youtube.com/watch?v=gisl6mK96Jg;2;4;2;4;0.105;0.331125;0.07875;0.07875;0.0525;0.225;0.2;
https://www.youtube.com/watch?v=Y2EJfB9DMLU;3;3;3;3;0;0;0;0;0;0;0;
https://www.youtube.com/watch?v=jtnLR8pA4YU;1;2;1;2;0.04765625;0.447125;0;0;0;0.39890625;0.55;
https://www.youtube.com/watch?v=YpHxxLAQCdk;1;3;3;3;0.031;0.520875;0.023125;0;0.013125;0.491625;0.7;
https://www.youtube.com/watch?v=-9Nafr7zdJs;2;3;3;3;0.0920833333333333;0.666104166666667;0.039375;0.02625;0.031875;0.5866875;0.7;
https://www.youtube.com/watch?v=ZdU4wMyiTSs;5;3;4;3;0.07225;0.493197916666667;0.00725;0.00725;0.00725;0.435447916666667;0.6;
https://www.youtube.com/watch?v=ruOzUIA4rbs;2;3;4;4;0;1;0;0;0;1;1;
https://www.youtube.com/watch?v=r7f-aR7vgg0;1;2;2;1;0.11725;0.377291666666667;0.046875;0.03125;0.065625;0.255208333333333;0.4;
https://www.youtube.com/watch?v=SJzd9x2S2yg;3;3;3;3;0.0694416666666667;0.699975416666667;0.0116;0.05285;0.0116;0.62490875;0.75;
https://www.youtube.com/watch?v=AdyGxhYWhoM;2;4;3;3;0.0643125;0.665348958333333;0.0105;0;0.0105;0.591411458333333;0.75;
